Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector,Alter,Proxy,Purchase Price
3,3,Boros Signet,cmd,Near Mint,English,,,50:45.2,243,FALSE,FALSE,
2,2,Bound in Silence,tsr,Near Mint,English,foil,,17:03.4,10,FALSE,FALSE,
1,1,Brave the Elements,zen,Near Mint,English,,,21:42.3,4,FALSE,FALSE,
4,4,Brave-Kin Duo,blb,Near Mint,English,foil,,33:23.6,3,FALSE,FALSE,
1,1,Brazen Collector,blb,Near Mint,English,,,33:23.6,128,FALSE,FALSE,
7,7,Brazen Freebooter,cmr,Near Mint,English,foil,,32:30.4,164,FALSE,FALSE,
1,1,Breaker of Creation,mh3,Near Mint,English,,,14:48.9,1,FALSE,FALSE,
1,1,Breathkeeper Seraph,sld,Near Mint,English,foil,,35:14.5,1345,FALSE,FALSE,
1,1,"Breeches, Eager Pillager",lci,Near Mint,English,,,14:48.9,294,FALSE,FALSE,
1,1,Briarblade Adept,cmr,Near Mint,English,foil,,31:21.2,111,FALSE,FALSE,
1,1,"Brisela, Voice of Nightmares",sld,Near Mint,English,foil,,35:14.5,1336b,FALSE,FALSE,
1,1,"Brokkos, Apex of Forever",iko,Near Mint,English,,,14:48.9,299,FALSE,FALSE,
1,1,Bronze Guardian,brc,Near Mint,English,,,34:38.4,70,FALSE,FALSE,
1,1,Bronzebeak Foragers,lcc,Near Mint,English,,,20:11.5,69,FALSE,FALSE,
1,1,"Bruna, the Fading Light",sld,Near Mint,English,,,32:17.3,1388,FALSE,FALSE,
1,1,"Bruna, the Fading Light",sld,Near Mint,English,foil,,35:14.5,1336,FALSE,FALSE,
1,1,Brushland,ltc,Near Mint,English,,,17:40.5,297,FALSE,FALSE,
1,1,Builder's Talent,blb,Near Mint,English,foil,,33:23.6,5,FALSE,FALSE,
1,1,Bumbleflower's Sharepot,blb,Near Mint,English,,,14:48.9,244,FALSE,FALSE,
1,1,"Burakos, Party Leader",clb,Near Mint,English,foil,,35:54.5,653,FALSE,FALSE,
1,1,Burning Anger,cmr,Near Mint,English,foil,,32:51.8,166,FALSE,FALSE,
1,1,Burnished Hart,cmm,Near Mint,English,,,18:57.7,373,FALSE,FALSE,
1,1,Bushy Bodyguard,tblb,Near Mint,English,,,10:47.0,20,FALSE,FALSE,
1,1,Butcher of Malakir,clb,Near Mint,English,,,35:54.5,741,FALSE,FALSE,
1,1,"Butterbur, Bree Innkeeper",ltr,Near Mint,English,,,17:40.5,197,FALSE,FALSE,
1,1,Bygone Bishop,clb,Near Mint,English,,,35:54.5,689,FALSE,FALSE,
1,1,Cache Grab,blb,Near Mint,English,,,00:00.2,167,FALSE,FALSE,
1,1,Cage of Hands,cmr,Near Mint,English,foil,,17:07.4,14,FALSE,FALSE,
1,1,Calamitous Tide,blb,Near Mint,English,,,14:48.9,43,FALSE,FALSE,
1,1,Calamity of the Titans,cmm,Near Mint,English,,,18:57.7,713,FALSE,FALSE,
2,2,Calciderm,tsr,Near Mint,English,foil,,17:10.5,11,FALSE,FALSE,
1,1,Calculating Lich,clb,Near Mint,English,,,35:54.5,742,FALSE,FALSE,
1,1,Call for Aid,ltc,Near Mint,English,,,15:14.2,30,FALSE,FALSE,
1,1,Call for Unity,ltc,Near Mint,English,,,17:40.5,163,FALSE,FALSE,
1,1,"Callaphe, Beloved of the Sea",thb,Near Mint,English,foil,,32:00.7,45,FALSE,FALSE,
11,11,"Callaphe, Beloved of the Sea",thb,Near Mint,English,foil,,32:00.7,260,FALSE,FALSE,
1,1,Campus Guide,stx,Near Mint,English,foil,,35:26.0,252,FALSE,FALSE,
1,1,Candlekeep Sage,clb,Near Mint,English,etched,,14:48.9,482,FALSE,FALSE,
1,1,Canopy Vista,lcc,Near Mint,English,,,20:11.5,321,FALSE,FALSE,
1,1,Canopy Vista,ltc,Near Mint,English,,,17:40.5,298,FALSE,FALSE,
1,1,Captain's Call,cmr,Near Mint,English,foil,,17:27.2,15,FALSE,FALSE,
1,1,Captain's Call,m13,Near Mint,English,foil,,17:35.3,9,FALSE,FALSE,
1,1,Caretaker's Talent,blb,Near Mint,English,,,33:23.6,6,FALSE,FALSE,
4,4,Carrot Cake,blb,Near Mint,English,,,33:23.6,7,FALSE,FALSE,
1,1,Cast Down,clb,Near Mint,English,foil,,14:48.9,119,FALSE,FALSE,
1,1,Castle Locthwain,clb,Near Mint,English,,,35:54.5,884,FALSE,FALSE,
1,1,Castle Raptors,tsr,Near Mint,English,foil,,17:46.9,12,FALSE,FALSE,
1,1,Cathodion,2xm,Near Mint,English,foil,,35:26.0,237,FALSE,FALSE,
1,1,Cavern Lampad,ths,Near Mint,English,foil,,31:21.2,81,FALSE,FALSE,
1,1,Cavern-Hoard Dragon,ltc,Near Mint,English,,,16:17.6,31,FALSE,FALSE,
1,1,Celeborn the Wise,ltr,Near Mint,English,,,16:37.9,156,FALSE,FALSE,
1,1,Celestial Purge,m11,Near Mint,English,,,22:44.2,9,FALSE,FALSE,
2,2,Champion of the Flame,cmr,Near Mint,English,foil,,32:30.4,167,FALSE,FALSE,
1,1,Champions of Minas Tirith,ltc,Near Mint,English,,,15:14.2,10,FALSE,FALSE,
1,1,Chance-Met Elves,ltr,Near Mint,English,,,14:48.9,157,FALSE,FALSE,
1,1,"Chandra, Heart of Fire",m21,Near Mint,English,,,32:51.8,135,FALSE,FALSE,
1,1,Chandra's Ignition,lcc,Near Mint,English,,,20:11.5,220,FALSE,FALSE,
1,1,Chandra's Magmutt,m21,Near Mint,English,foil,,32:51.8,137,FALSE,FALSE,
1,1,Changeling Outcast,clb,Near Mint,English,,,35:54.5,743,FALSE,FALSE,
1,1,Chief of the Foundry,brc,Near Mint,English,,,34:38.4,134,FALSE,FALSE,
1,1,Choked Estuary,ltc,Near Mint,English,,,16:17.6,299,FALSE,FALSE,
1,1,Chromatic Lantern,ltc,Near Mint,English,,,17:40.5,275,FALSE,FALSE,
1,1,Chrome Courier,brc,Near Mint,English,,,34:38.4,123,FALSE,FALSE,
1,1,Cinder Glade,lcc,Near Mint,English,,,20:11.5,323,FALSE,FALSE,
1,1,Círdan the Shipwright,ltc,Near Mint,English,,,16:37.9,50,FALSE,FALSE,
1,1,Cleansing Nova,plst,Near Mint,English,,,35:14.5,C21-86,FALSE,FALSE,
4,4,Cleric Class,afr,Near Mint,English,,,24:42.8,6,FALSE,FALSE,
1,1,Clifftop Retreat,ltc,Near Mint,English,,,15:14.2,300,FALSE,FALSE,
1,1,Clifftop Retreat,lcc,Near Mint,English,,,20:11.5,324,FALSE,FALSE,
1,1,Clockwork Hydra,tsr,Near Mint,English,foil,,35:26.0,264,FALSE,FALSE,
4,4,Cloudshift,avr,Near Mint,English,,,31:41.6,12,FALSE,FALSE,
1,1,Coal Stoker,tsr,Near Mint,English,foil,,32:30.4,159,FALSE,FALSE,
2,2,Coastline Marauders,cmr,Near Mint,English,foil,,32:30.4,168,FALSE,FALSE,
1,1,Cogwork Archivist,stx,Near Mint,English,foil,,35:26.0,254,FALSE,FALSE,
1,1,Collar the Culprit,grn,Near Mint,English,foil,,17:54.3,5,FALSE,FALSE,
1,1,Colossal Plow,khm,Near Mint,English,foil,,35:26.0,236,FALSE,FALSE,
1,1,Colossal Whale,ltc,Near Mint,English,,,16:37.9,186,FALSE,FALSE,
1,1,Combat Celebrant,ltc,Near Mint,English,,,15:14.2,212,FALSE,FALSE,
4,4,Command Tower,ltc,Near Mint,English,,,17:40.5,301,FALSE,FALSE,
1,1,Command Tower,brc,Near Mint,English,,,34:38.4,178,FALSE,FALSE,
1,1,Command Tower,sld,Near Mint,English,foil,,14:48.9,1496★,FALSE,FALSE,
1,1,Command Tower,lcc,Near Mint,English,,,20:11.5,325,FALSE,FALSE,
1,1,Command Tower,clb,Near Mint,English,,,35:54.5,351,FALSE,FALSE,
1,1,Commander's Plate,sld,Near Mint,English,foil,,35:14.5,1339,FALSE,FALSE,
4,4,Commander's Sphere,ltc,Near Mint,English,,,17:40.5,276,FALSE,FALSE,
1,1,Commander's Sphere,mic,Near Mint,English,,,14:48.9,159,FALSE,FALSE,
1,1,Commander's Sphere,cmm,Near Mint,English,foil,,32:51.8,655,FALSE,FALSE,
1,1,Commanding Presence,thb,Near Mint,English,foil,,18:03.1,7,FALSE,FALSE,
1,1,Concordia Pegasus,rtr,Near Mint,English,foil,,17:57.9,8,FALSE,FALSE,
1,1,Consider,ltc,Near Mint,English,,,16:17.6,187,FALSE,FALSE,
1,1,Corpse Augur,clb,Near Mint,English,,,35:54.5,744,FALSE,FALSE,
4,4,Corpse Churn,cmr,Near Mint,English,foil,,31:21.2,113,FALSE,FALSE,
1,1,Corpseberry Cultivator,blb,Near Mint,English,,,14:48.9,210,FALSE,FALSE,
1,1,Corrupted Shapeshifter,mh3,Near Mint,English,,,14:48.9,56,FALSE,FALSE,
1,1,Corsairs of Umbar,ltc,Near Mint,English,,,16:17.6,19,FALSE,FALSE,
1,1,Cosmos Elixir,plst,Near Mint,English,,,35:14.5,KHM-237,FALSE,FALSE,
4,4,Cosmos Elixir,khm,Near Mint,English,foil,,26:15.3,237,FALSE,FALSE,
1,1,Costly Plunder,2xm,Near Mint,English,foil,,31:21.2,80,FALSE,FALSE,
1,1,Court of Grace,sld,Near Mint,English,foil,,35:14.5,1338,FALSE,FALSE,
1,1,Court of Ire,ltc,Near Mint,English,,,15:14.2,213,FALSE,FALSE,
3,3,Court Street Denizen,cmr,Near Mint,English,foil,,18:15.8,17,FALSE,FALSE,
1,1,Cranial Plating,brc,Near Mint,English,,,34:38.4,136,FALSE,FALSE,
1,1,Crashing Drawbridge,cmm,Near Mint,English,,,18:57.7,944,FALSE,FALSE,
1,1,Crashing Tide,rix,Near Mint,English,foil,,32:00.7,34,FALSE,FALSE,
2,2,Craven Hulk,khm,Near Mint,English,foil,,32:30.4,127,FALSE,FALSE,
1,1,Crib Swap,clb,Near Mint,English,,,35:54.5,690,FALSE,FALSE,
1,1,Crib Swap,2xm,Near Mint,English,foil,,18:23.5,12,FALSE,FALSE,
1,1,Crippling Blight,m13,Near Mint,English,foil,,31:21.2,85,FALSE,FALSE,
1,1,Crookclaw Transmuter,tsr,Near Mint,English,foil,,32:00.7,59,FALSE,FALSE,
1,1,Crown of Gondor,ltc,Near Mint,English,,,15:14.2,75,FALSE,FALSE,
1,1,Crumbling Necropolis,ltc,Near Mint,English,,,16:17.6,302,FALSE,FALSE,
1,1,Crushing Disappointment,stx,Near Mint,English,foil,,19:41.5,68,FALSE,FALSE,
1,1,Crypt Incursion,ltc,Near Mint,English,,,17:40.5,198,FALSE,FALSE,
